"keyname","fname","keypressTime","initTime",
"2","Tools/blow drye 1.jpg",4590.8863,4588.9247,
"2","Tools/trash can 1.jpg",4593.7183,,
"2","Tools/drink mixer 1.jpg",4596.6383,,
"1","Tools/juicer 1.jpg",4599.4143,,
"3","Tools/kettle 1.jpg",4602.0623,,
"3","Tools/stapler 2.jpg",4604.7982,,
"3","Tools/curling iron 1.jpg",4607.4782,,
"2","Tools/tape 2.jpg",4611.0781,,
"2","Tools/deep fryer 1.jpg",4613.9661,,
"3","Tools/ladle 1.jpg",4615.982,,
"3","Tools/scissors 2.jpg",4619.03,,
"1","Tools/red chopper 1.jpg",4621.9419,,
"3","Tools/wine glass 2 D.jpg",4624.5819,,
"1","Tools/soda maker 1.jpg",4627.5339,,
"1","Tools/Hook 1.jpg",4630.1258,,
"3","Tools/nail clipper 1.jpg",4633.5498,,
"1","Tools/charger 1.jpg",4635.8858,,
"3","Tools/cone 1.jpg",4638.7178,,
"2","Tools/hole punche 1.jpg",4642.1737,,
"3","Tools/earphones 1.jpg",4644.3897,,
"2","Tools/jump start wires 1.jpg",4647.7897,,
"2","Tools/rake 1.jpg",4650.3976,,
"2","Tools/wisk 1.jpg",4653.0056,,
"3","Tools/pan 1.jpg",4656.1576,,
"2","Tools/tableiron1.jpg",4659.0455,,
"2","Tools/box of supplies 1.jpg",4662.2935,,
"2","Tools/tape 3.jpg",4664.7974,,
"2","Tools/faucet 1.jpg",4667.7494,,
"2","Tools/paint roller 1.jpg",4670.4134,,
"1","Tools/bread maker 2.jpg",4673.0853,,
"2","Tools/multi-cooker 1.jpg",4676.1093,,
"1","Tools/broom 2.jpg",4678.5972,,
"1","Tools/magnify glass 1.jpg",4681.7572,,
"2","Tools/brush 5.jpg",4684.8932,,
"1","Tools/shovel 1.jpg",4687.5092,,
"1","Tools/voltage measurement 1.jpg",4690.2771,,
"1","Tools/meat slicer 1.jpg",4693.2211,,
"2","Tools/paperclip1.jpg",4696.213,,
"2","Tools/weed cutter 1 D.jpg",4699.0211,,
"1","Tools/compressor 1.jpg",4701.5489,,
"1","Tools/tape 1.jpg",4704.9969,,
"2","Tools/paper cutter 1.jpg",4707.6049,,
"1","Tools/juicer 2.jpg",4710.1569,,
"2","Tools/broom 1.jpg",4713.5888,,
"2","Tools/egg cooker 2.jpg",4716.1248,,
"2","Tools/binoculars 1.jpg",4718.6847,,
"2","Tools/typewriter 1.jpg",4721.6047,,
"1","Tools/tube1.jpg",4724.4687,,
"2","Tools/extinguisher 2.jpg",4727.5806,,
"1","Tools/expresso machine 1.jpg",4730.2366,,
"1","Tools/meat slicer 2.jpg",4732.8286,,
"2","Tools/wrench 1.jpg",4735.8126,,
"1","Tools/blood pressure monitor 1.jpg",4738.5725,,
"3","Tools/hole punche 2.jpg",4741.8684,,
"2","Tools/wooden pin 1.jpg",4744.4444,,
"3","Tools/hanger 1.jpg",4747.2764,,
"2","Tools/tripod 1.jpg",4750.5563,,
"3","Tools/fan 3.jpg",4752.9883,,
"3","Tools/stapler 1.jpg",4755.6763,,
"2","Tools/screw1.jpg",4758.8203,,
"2","Tools/dust pan 1.jpg",4761.2602,,
"1","Tools/tube2.jpg",4764.1082,,
"1","Tools/meter1.jpg",4767.0521,,
"1","Tools/lawnmower 1.jpg",4770.1321,,
"2","Tools/ladder 2.jpg",4772.6521,,
"2","Tools/fixing 1.jpg",4775.8761,,
"2","Tools/smoke detector 1.jpg",4778.772,,
"2","Tools/headphones 1.jpg",4781.148,,
"1","Tools/shower scrub 1.jpg",4784.1879,,
"1","Tools/nail filer 1.jpg",4787.4839,,
"2","Tools/hot glue gun 1.jpg",4790.2758,,
"2","Tools/pot 1.jpg",4792.9958,,
"2","Tools/pan 2.jpg",4795.5878,,
"1","Tools/pressure gauge 2.jpg",4798.2117,,
"1","Tools/compass 1.jpg",4801.4597,,
"2","Tools/flashlight 2.jpg",4804.1317,,
"1","Tools/Lanyard 1.jpg",4806.9636,,
"1","Tools/grill 1 (2).jpg",4809.6836,,
"1","Tools/power cable 1.jpg",4812.5316,,
"1","Tools/shovel 2.jpg",4815.7795,,
"1","Tools/cutter 1.jpg",4818.2995,,
"1","Tools/gardening 1.jpg",4821.2994,,
"2","Tools/food processor 1.jpg",4823.7874,,
"2","Tools/extinguisher 1.jpg",4827.3554,,
"2","Tools/net 1.jpg",4830.0194,,
"2","Tools/sponge 1.jpg",4832.4513,,
"1","Tools/electric burner 1.jpg",4835.5473,,
"3","Tools/Sink flange 1.jpg",4838.0752,,
"2","Tools/shredder 1.jpg",4841.2672,,
"3","Tools/washing machine 1.jpg",4844.4352,,
"2","Tools/calculator 3.jpg",4846.9232,,
"3","Tools/pot 2.jpg",4850.1151,,
"3","Tools/microwave 2.jpg",4852.5711,,
"NR","Tools/megaphone 1.jpg",NaN,,
"3","Tools/wheel barrel 1.jpg",4858.299,,
"3","Tools/gloves 1.jpg",4860.923,,
"3","Tools/pressure gauge 1.jpg",4864.0909,,
"1","Tools/saw 3.jpg",4866.6829,,
"3","Tools/fondue set 1.jpg",4870.0908,,
"3","Tools/chopsticks 1.jpg",4872.9548,,
"1","Tools/cork screw 1.jpg",4875.4748,,
"2","Tools/deep fryer 2.jpg",4878.5627,,
"3","Tools/flashlight 1.jpg",4881.2827,,
"3","Tools/keys 1.jpg",4883.6907,,
"1","Tools/Brush 3.jpg",4887.2506,,
"1","Tools/pipette 1.jpg",4889.6346,,
"3","Tools/strings 1.jpg",4892.6746,,
"1","Tools/drink pourer 1.jpg",4895.2585,,

